Sample_ID,Temperature_C,pH,Dissolved_Oxygen_pct,Agitation_RPM,Glucose_g_L,Biomass_g_L,Ethanol_g_L,CO2_mmol_L,Respiratory_Quotient,Pressure_kPa,Batch_Quality
FERM_0264,28.68,6.21,60.04,171.9,30.51,1.61,1.7,15.85,0.845,100.52,Needs_Review
FERM_0265,29.71,6.32,67.49,181.2,23.29,2.42,2.41,23.62,1.03,102.98,Needs_Review
FERM_0266,28.67,6.38,58.99,175.0,31.92,1.43,1.28,11.69,0.804,99.21,Needs_Review
FERM_0267,32.01,5.75,42.53,225.4,14.41,3.6,2.29,21.98,0.981,102.41,Good
FERM_0268,28.67,6.39,66.89,149.5,29.46,1.45,2.51,22.67,1.052,103.83,Needs_Review
FERM_0269,29.63,6.17,56.25,180.2,28.34,1.84,1.68,13.23,0.849,100.2,Needs_Review
FERM_0270,30.26,6.29,76.24,183.3,19.03,2.93,3.16,27.0,1.065,104.83,Good
FERM_0271,31.31,6.08,59.92,215.1,16.29,3.55,2.82,25.1,1.081,103.46,Good
FERM_0272,29.13,6.48,84.22,133.8,31.99,1.2,1.11,14.67,0.817,99.54,Needs_Review
FERM_0273,30.89,5.83,34.65,232.5,15.75,3.19,2.79,22.21,1.036,103.22,Needs_Review
FERM_0274,30.06,6.17,54.68,192.9,21.09,2.45,2.54,22.96,0.997,102.68,Needs_Review
FERM_0275,28.93,6.41,87.58,141.4,25.73,1.56,1.7,18.51,0.96,101.59,Needs_Review
FERM_0276,30.09,6.04,58.19,206.3,25.3,2.44,1.39,12.48,0.744,98.83,Needs_Review
FERM_0277,30.03,6.45,89.45,180.2,22.22,2.34,1.66,13.95,0.865,100.45,Good
FERM_0278,29.45,6.26,73.23,166.0,26.14,1.81,1.86,14.68,0.868,100.37,Needs_Review
FERM_0279,29.96,6.26,63.61,186.0,21.3,2.43,1.82,17.18,0.915,100.79,Good
FERM_0280,29.48,6.28,63.18,180.6,24.66,2.28,1.75,20.09,0.988,102.17,Needs_Review
FERM_0281,29.75,6.05,64.24,181.1,22.87,2.76,2.17,18.51,0.91,101.74,Good
FERM_0282,30.58,6.01,51.43,205.0,22.84,2.45,1.51,13.84,0.789,99.42,Needs_Review
FERM_0283,31.05,6.08,51.35,208.7,13.74,3.75,2.43,23.7,1.017,103.42,Good
FERM_0284,29.08,6.44,85.97,148.8,27.81,1.74,1.82,18.75,0.996,101.89,Needs_Review
FERM_0285,31.94,5.7,27.34,240.1,12.35,3.94,3.36,26.08,1.037,103.59,Good
FERM_0286,27.88,6.46,65.46,151.5,31.33,1.21,1.96,19.29,0.984,101.66,Needs_Review
FERM_0287,29.79,6.11,38.26,193.1,23.5,2.39,2.52,20.48,0.996,102.33,Good
FERM_0288,30.34,6.12,59.54,195.9,18.96,2.93,2.33,22.33,1.032,102.78,Good
FERM_0289,30.33,5.99,43.65,197.3,22.9,2.77,1.73,17.76,0.878,101.88,Needs_Review
FERM_0290,29.77,6.21,41.22,182.8,32.12,1.73,0.87,10.01,0.738,97.76,Needs_Review
FERM_0291,29.34,6.42,70.53,186.0,24.93,2.39,2.13,20.78,0.916,101.84,Good
FERM_0292,29.59,6.62,95.0,133.8,25.65,2.03,1.91,18.31,0.863,101.84,Good
FERM_0293,29.43,6.31,67.58,177.5,26.83,1.85,1.96,16.85,0.937,101.55,Needs_Review
FERM_0294,30.93,6.07,61.7,204.4,21.85,2.76,1.59,13.22,0.821,99.75,Needs_Review
FERM_0295,30.37,6.08,59.07,185.9,24.32,2.61,1.49,14.91,0.815,99.19,Needs_Review
FERM_0296,29.19,6.36,66.64,158.9,25.11,1.91,2.18,21.22,1.002,102.95,Good
FERM_0297,30.73,6.16,65.2,214.6,19.2,2.91,2.32,19.68,1.02,101.53,Good
FERM_0298,30.08,6.23,51.27,189.3,21.29,2.76,2.17,22.29,0.991,102.34,Good
FERM_0299,31.0,6.13,55.82,197.5,18.52,2.87,1.95,20.31,0.96,101.8,Good
FERM_0300,30.57,6.0,59.86,208.0,19.45,2.76,2.32,19.62,0.926,101.59,Good
FERM_0301,29.73,6.37,62.8,169.5,24.77,1.92,2.34,20.4,0.996,102.33,Needs_Review
FERM_0302,29.48,6.32,86.44,154.8,26.02,1.74,1.54,14.31,0.846,99.47,Needs_Review
FERM_0303,30.5,6.02,52.2,208.8,18.46,2.84,2.07,20.61,0.942,102.33,Needs_Review
FERM_0304,30.17,6.03,43.45,201.0,21.94,2.84,1.82,17.58,0.938,101.29,Good
FERM_0305,29.53,6.42,69.01,187.8,23.91,2.15,1.72,15.8,0.905,99.82,Needs_Review
FERM_0306,29.71,6.34,45.48,202.9,24.62,2.24,1.63,17.71,0.896,101.17,Needs_Review
FERM_0307,31.22,6.02,48.15,224.3,16.95,3.28,2.39,21.45,0.923,102.31,Good
FERM_0308,29.59,6.29,66.72,171.0,25.67,1.98,1.66,13.98,0.845,100.32,Needs_Review
FERM_0309,30.1,6.25,71.93,204.0,19.43,3.0,3.07,24.14,1.13,103.92,Good
FERM_0310,30.04,6.35,69.3,175.5,27.81,2.04,1.38,12.79,0.819,99.56,Needs_Review
FERM_0311,29.68,6.21,63.84,170.8,24.31,2.21,1.95,16.51,0.922,100.75,Needs_Review
FERM_0312,31.03,6.23,59.27,212.4,19.67,2.9,1.8,19.21,0.945,101.7,Good
FERM_0313,31.15,6.21,74.47,211.6,15.79,3.31,3.14,25.52,1.095,104.05,Good
FERM_0314,30.96,6.15,59.66,196.2,19.49,3.07,2.23,20.66,0.943,102.44,Good
FERM_0315,31.11,6.02,51.44,218.9,13.63,3.48,3.01,24.73,1.001,104.46,Good
FERM_0316,29.8,6.1,46.34,199.0,24.71,2.27,1.15,11.15,0.789,98.89,Needs_Review
FERM_0317,30.08,6.04,41.62,212.2,19.46,2.8,2.55,19.36,0.947,103.07,Needs_Review
FERM_0318,29.54,6.18,62.18,171.9,23.69,2.47,2.27,21.21,1.004,102.5,Needs_Review
FERM_0319,30.24,6.04,51.3,206.8,21.67,2.67,2.24,18.86,0.907,102.01,Good
FERM_0320,29.64,6.12,57.15,199.1,21.12,2.46,2.51,22.97,1.016,103.09,Good
FERM_0321,30.05,6.22,61.11,188.6,24.05,2.37,1.72,16.04,0.872,100.87,Good
FERM_0322,30.55,6.21,64.03,191.1,18.41,3.07,2.93,24.57,1.086,104.25,Good
FERM_0323,29.21,6.38,69.99,151.8,23.6,2.37,2.89,27.58,1.097,104.73,Good
FERM_0324,31.72,6.01,42.5,241.5,14.06,3.71,2.43,20.72,0.976,102.57,Good
FERM_0325,29.14,6.39,73.8,164.0,29.32,1.5,1.44,14.14,0.83,99.62,Needs_Review
FERM_0326,29.02,6.27,53.08,170.1,28.81,1.91,2.47,22.1,0.987,102.57,Needs_Review
FERM_0327,30.77,5.81,39.54,224.9,13.41,3.45,3.23,27.01,1.11,104.77,Good
FERM_0328,31.07,6.01,51.29,204.2,21.51,2.98,2.07,17.4,0.892,101.13,Good
FERM_0329,30.54,6.02,41.31,204.5,23.01,2.98,2.09,17.74,0.901,101.47,Needs_Review
FERM_0330,30.57,6.21,62.15,203.6,21.87,2.75,1.88,16.59,0.945,101.27,Good
FERM_0331,30.17,6.33,78.63,178.8,26.51,2.23,1.39,11.49,0.779,99.33,Needs_Review
FERM_0332,29.25,6.48,85.86,139.3,29.87,1.45,1.05,11.87,0.798,98.54,Needs_Review
FERM_0333,30.31,6.04,61.52,200.0,26.86,2.36,1.56,13.84,0.794,99.39,Needs_Review
FERM_0334,29.46,6.44,88.28,158.1,27.35,1.8,1.47,14.15,0.843,99.34,Needs_Review
FERM_0335,30.72,6.11,52.72,220.9,17.83,3.15,1.99,19.18,0.95,101.88,Good
FERM_0336,29.96,6.24,58.64,174.2,23.82,2.26,2.1,18.36,0.929,101.65,Needs_Review
FERM_0337,28.97,6.33,66.91,157.2,26.68,1.89,2.53,22.92,1.003,103.75,Good
FERM_0338,29.74,6.23,64.86,177.4,28.12,2.05,1.24,12.22,0.847,99.12,Needs_Review
FERM_0339,30.36,6.09,56.85,203.2,18.72,2.63,2.87,22.98,1.0,103.41,Good
FERM_0340,29.44,6.27,70.1,180.4,26.99,1.92,1.62,16.53,0.867,100.5,Needs_Review
FERM_0341,29.23,6.42,73.72,165.6,27.64,1.91,1.61,15.29,0.899,100.31,Needs_Review
FERM_0342,29.75,6.19,56.33,190.1,20.53,2.72,2.46,21.87,0.965,102.65,Good
FERM_0343,30.08,6.24,67.94,181.2,26.15,2.61,1.56,12.08,0.778,99.4,Good
FERM_0344,29.57,6.37,80.72,169.9,24.23,2.23,2.04,18.26,0.89,101.58,Needs_Review
FERM_0345,29.62,6.21,79.96,157.5,28.05,2.01,2.13,17.54,0.941,101.28,Good
FERM_0346,29.95,6.1,37.95,214.8,22.8,2.66,2.42,22.02,0.963,102.38,Good
FERM_0347,29.01,6.17,43.55,162.9,32.26,1.4,1.4,16.19,0.979,100.66,Needs_Review
FERM_0348,28.52,6.48,87.95,149.3,25.85,1.64,2.85,24.47,1.098,105.18,Good
FERM_0349,29.6,6.25,50.92,180.6,28.83,1.66,1.35,12.09,0.812,99.24,Needs_Review
FERM_0350,29.91,6.18,60.35,179.9,24.45,2.08,1.72,15.21,0.846,99.94,Needs_Review
FERM_0351,30.12,6.11,42.27,199.4,23.0,2.27,1.36,16.31,0.873,101.37,Needs_Review
FERM_0352,31.77,5.8,24.01,238.3,18.03,3.37,2.52,18.75,0.897,100.97,Needs_Review
FERM_0353,30.47,6.15,57.4,207.7,22.37,2.87,1.99,16.98,0.897,100.28,Good
FERM_0354,30.09,6.2,74.07,175.0,21.13,2.3,2.63,23.96,1.01,103.59,Good
FERM_0355,30.23,6.24,57.15,184.9,20.82,2.69,2.95,23.92,1.027,103.12,Good
FERM_0356,28.93,6.14,38.32,176.5,30.17,1.66,1.74,14.14,0.788,99.49,Needs_Review
FERM_0357,30.33,6.12,53.67,189.4,24.09,2.26,1.67,12.91,0.781,100.54,Needs_Review
FERM_0358,29.68,6.3,69.81,158.9,25.27,2.24,2.32,18.82,0.946,101.41,Good
FERM_0359,30.36,5.85,41.58,209.1,22.56,2.6,1.81,14.71,0.867,99.84,Needs_Review
FERM_0360,29.32,6.4,73.87,153.5,26.8,2.0,2.08,18.97,0.943,101.34,Good
FERM_0361,30.43,6.02,55.03,191.6,20.35,2.85,2.2,19.91,0.987,102.34,Good
FERM_0362,31.58,5.87,53.64,211.5,18.11,3.13,1.5,14.34,0.845,100.04,Good
FERM_0363,30.1,6.11,62.55,168.4,21.46,2.63,2.72,24.8,1.063,103.83,Good
FERM_0364,29.92,6.12,46.29,194.5,18.06,3.16,2.91,26.14,1.067,105.05,Good
FERM_0365,30.95,6.15,70.78,189.8,21.19,2.72,1.86,16.47,0.865,101.17,Good
FERM_0366,29.22,6.38,63.74,188.7,25.99,2.29,1.41,14.25,0.854,100.95,Needs_Review
FERM_0367,30.46,6.11,57.5,187.8,22.65,2.55,2.25,20.83,0.939,101.89,Good
FERM_0368,30.29,5.97,47.96,194.1,25.25,2.47,2.18,19.29,0.936,101.11,Needs_Review
FERM_0369,29.82,6.05,56.23,194.1,22.34,2.51,2.41,20.77,0.972,102.27,Good
FERM_0370,29.2,6.35,61.46,171.4,25.19,2.23,2.8,26.77,1.088,104.23,Needs_Review
FERM_0371,29.75,6.17,58.21,186.5,22.56,2.18,2.37,16.26,0.887,100.91,Good
FERM_0372,30.39,6.24,79.69,176.9,23.2,2.55,1.91,14.5,0.86,100.15,Good
FERM_0373,31.23,5.81,24.03,246.8,17.9,3.07,1.49,13.82,0.835,100.22,Needs_Review
FERM_0374,31.06,5.91,29.3,237.4,18.7,2.98,1.92,16.58,0.853,101.1,Needs_Review
FERM_0375,32.27,6.05,57.38,221.7,11.98,4.06,2.54,22.5,1.013,102.69,Good
FERM_0376,29.66,6.43,65.9,158.0,25.83,2.25,2.6,25.13,1.052,104.38,Needs_Review
FERM_0377,30.64,5.95,41.83,212.8,21.64,2.65,1.78,19.47,0.854,101.1,Good
FERM_0378,30.11,6.16,72.17,175.1,22.89,2.82,2.24,17.57,0.957,101.85,Good
FERM_0379,31.55,5.71,30.62,254.7,10.81,4.01,2.55,22.79,0.964,103.12,Good
FERM_0380,29.07,6.55,94.25,142.7,25.59,1.94,2.56,21.29,1.023,102.9,Needs_Review
FERM_0381,29.49,6.34,75.57,171.2,23.67,2.27,3.29,27.22,1.087,105.98,Good
FERM_0382,29.86,6.18,58.01,180.5,28.39,1.89,1.73,13.92,0.884,99.42,Needs_Review
FERM_0383,27.78,6.8,95.0,120.0,33.81,1.0,0.97,10.82,0.824,98.75,Needs_Review
FERM_0384,29.38,6.23,60.82,182.3,23.58,2.23,2.49,22.99,0.971,102.77,Needs_Review
FERM_0385,29.31,6.41,74.5,165.5,26.51,1.9,2.24,20.22,0.928,102.15,Good
FERM_0386,30.21,6.14,63.24,182.9,20.17,2.79,2.99,26.63,1.151,105.17,Good
FERM_0387,30.11,6.25,74.11,178.4,18.42,2.67,2.31,22.39,0.97,102.58,Good
FERM_0388,31.79,5.94,64.44,225.6,14.77,3.51,2.61,18.93,0.92,101.47,Good
FERM_0389,30.74,6.1,51.19,217.4,18.05,3.21,2.64,21.49,0.951,103.32,Good
FERM_0390,29.48,6.31,59.32,175.8,25.8,2.25,2.53,20.09,1.005,103.16,Needs_Review
FERM_0391,29.33,6.26,78.14,145.1,27.86,1.96,2.06,19.34,0.969,101.47,Good
FERM_0392,30.44,5.97,43.52,198.6,21.13,2.94,2.24,21.4,1.003,102.56,Good
FERM_0393,28.7,6.52,95.0,131.4,27.77,1.68,2.11,20.24,0.952,101.74,Needs_Review
FERM_0394,31.62,5.83,44.06,234.7,9.85,3.87,3.17,27.04,1.054,104.45,Good
FERM_0395,31.04,5.94,45.29,234.8,14.63,3.6,2.95,25.45,1.105,104.3,Good
FERM_0396,29.49,6.19,77.41,160.7,26.34,2.02,2.21,20.62,0.996,102.42,Needs_Review
FERM_0397,28.39,6.3,59.16,151.3,34.0,1.03,1.14,14.01,0.813,99.84,Needs_Review
FERM_0398,31.62,5.78,37.93,241.1,17.52,3.29,2.32,21.95,1.002,102.06,Good
FERM_0399,30.04,6.36,78.29,188.1,22.7,2.66,2.73,21.69,1.038,103.7,Good
FERM_0400,31.04,5.92,40.42,222.1,19.65,3.26,2.01,17.05,0.903,100.19,Needs_Review
FERM_0401,28.74,6.32,65.84,152.2,30.89,1.38,1.67,15.52,0.907,100.96,Needs_Review
FERM_0402,29.38,6.38,74.72,167.9,27.75,2.03,1.45,14.71,0.8,99.89,Needs_Review
FERM_0403,30.3,6.27,76.22,177.0,25.92,2.3,1.86,18.57,0.919,101.23,Good
FERM_0404,30.13,6.24,71.49,179.9,20.07,2.71,2.66,23.92,1.076,103.81,Good
FERM_0405,29.57,6.51,76.86,167.5,27.9,2.1,2.07,17.28,0.903,101.51,Needs_Review
FERM_0406,30.67,6.12,46.81,190.8,20.28,2.96,2.35,19.46,0.934,102.29,Good
FERM_0407,28.65,6.15,54.43,171.3,33.86,1.37,0.86,8.52,0.748,98.08,Needs_Review
FERM_0408,29.59,6.44,80.82,169.9,21.56,2.39,2.19,21.99,0.918,102.65,Good
FERM_0409,29.81,6.21,55.58,189.4,22.79,2.67,2.43,20.98,1.03,102.39,Good
FERM_0410,30.5,5.99,55.59,215.7,16.11,3.26,3.22,29.66,1.129,105.62,Good
FERM_0411,31.07,6.27,70.37,189.6,19.22,2.78,1.97,17.62,0.923,101.4,Needs_Review
FERM_0412,29.55,6.58,82.32,146.2,29.67,1.62,1.98,16.32,0.906,100.87,Needs_Review
FERM_0413,28.78,6.43,83.34,152.3,32.69,1.21,1.8,15.44,0.93,100.04,Needs_Review
FERM_0414,31.28,6.11,77.61,197.6,13.19,3.3,3.27,28.35,1.126,105.15,Good
FERM_0415,29.85,6.16,51.35,195.6,20.66,2.65,1.86,17.67,0.915,101.49,Good
FERM_0416,29.19,6.45,85.99,155.6,27.22,1.98,1.96,18.27,0.903,101.04,Needs_Review
FERM_0417,31.2,5.97,45.33,233.9,14.61,3.66,2.96,23.53,1.047,103.03,Good
FERM_0418,29.95,6.23,65.56,187.5,23.68,2.28,2.08,17.49,0.895,102.23,Good
FERM_0419,31.02,6.17,69.09,196.7,19.9,3.13,2.31,17.89,0.927,101.49,Good
FERM_0420,29.94,6.13,70.45,179.1,23.19,2.22,2.32,18.07,0.914,101.62,Good
FERM_0421,31.36,5.97,44.89,234.1,13.36,4.2,3.46,26.98,1.12,104.28,Good
FERM_0422,31.77,6.08,58.12,225.0,17.19,3.35,2.01,15.94,0.874,100.39,Good
FERM_0423,29.51,6.19,59.6,183.9,24.61,2.4,2.09,18.84,0.942,101.82,Needs_Review
FERM_0424,30.93,5.94,40.27,221.8,18.41,3.09,2.12,16.72,0.881,100.77,Needs_Review
FERM_0425,31.1,5.86,41.5,199.0,17.94,2.97,2.92,24.53,1.015,103.71,Needs_Review
FERM_0426,31.0,5.8,21.89,246.5,19.53,2.98,1.5,14.41,0.787,99.69,Needs_Review
FERM_0427,28.5,6.63,95.0,143.3,31.29,1.65,1.34,14.33,0.852,99.33,Needs_Review
FERM_0428,30.55,5.96,40.54,222.7,20.23,2.86,2.45,21.05,0.982,102.98,Needs_Review
FERM_0429,31.23,6.08,50.64,219.5,13.95,3.46,2.98,26.54,1.138,105.33,Good
FERM_0430,28.91,6.46,79.72,145.7,33.48,1.06,1.41,12.77,0.871,99.79,Needs_Review
FERM_0431,28.63,6.49,80.75,152.7,32.07,1.23,1.5,12.59,0.805,99.25,Needs_Review
FERM_0432,28.29,6.57,94.13,130.8,32.68,1.0,2.09,21.89,1.027,102.34,Needs_Review
FERM_0433,29.64,6.33,74.37,174.2,29.36,1.97,1.35,11.03,0.77,97.99,Needs_Review
FERM_0434,30.62,6.0,48.44,209.1,25.58,2.45,1.17,9.26,0.664,97.38,Needs_Review
FERM_0435,32.01,5.93,45.05,244.3,15.38,3.49,2.62,23.54,1.051,103.19,Good
FERM_0436,29.69,6.19,67.8,191.0,25.08,2.45,1.83,15.4,0.883,100.33,Good
FERM_0437,31.53,5.87,39.64,236.6,19.07,3.53,1.93,16.62,0.897,100.13,Good
FERM_0438,28.87,6.68,95.0,124.6,28.16,1.5,2.16,19.37,0.91,101.51,Needs_Review
FERM_0439,28.74,6.52,83.84,124.4,31.95,1.18,1.77,15.96,0.924,100.72,Needs_Review
FERM_0440,29.97,6.15,71.38,179.6,24.49,2.32,1.46,15.3,0.918,100.43,Needs_Review
FERM_0441,30.42,6.34,68.39,191.5,25.02,2.28,1.5,12.53,0.77,98.6,Needs_Review
FERM_0442,29.87,6.43,76.68,170.4,23.9,2.56,2.44,21.35,1.026,102.8,Good
FERM_0443,28.21,6.49,88.38,126.7,32.73,1.09,1.75,16.11,0.923,100.54,Needs_Review
FERM_0444,29.83,6.14,45.74,204.0,21.79,2.4,1.81,16.94,0.869,101.37,Needs_Review
FERM_0445,28.98,6.43,82.19,150.1,26.6,1.56,2.89,24.31,1.078,103.99,Needs_Review
FERM_0446,30.51,6.04,43.87,201.0,23.75,2.6,1.77,14.35,0.854,99.53,Good
FERM_0447,30.42,6.1,51.27,198.7,25.79,2.28,1.16,10.79,0.763,98.54,Needs_Review
FERM_0448,29.15,6.41,73.98,148.4,30.79,1.61,1.14,14.42,0.852,99.24,Needs_Review
FERM_0449,29.82,6.35,83.38,158.0,26.43,2.08,1.76,17.02,0.858,100.07,Needs_Review
FERM_0450,29.03,6.34,70.67,152.3,27.49,1.86,1.88,15.85,0.875,101.11,Needs_Review
FERM_0451,29.5,6.17,69.12,177.4,25.43,2.25,1.88,16.44,0.897,100.73,Needs_Review
FERM_0452,31.18,6.13,75.18,189.3,17.33,3.09,2.67,21.58,0.984,102.94,Good
FERM_0453,28.89,6.4,76.91,154.6,34.0,1.6,1.13,11.76,0.747,97.97,Needs_Review
FERM_0454,30.29,6.31,93.32,174.4,19.18,3.06,3.09,24.62,1.1,104.03,Good
FERM_0455,29.37,6.41,73.29,145.1,26.22,2.16,1.84,17.35,0.909,100.25,Needs_Review
FERM_0456,29.63,6.29,51.33,191.3,25.15,2.06,2.17,22.56,1.029,102.4,Needs_Review
FERM_0457,29.37,6.25,74.84,183.6,23.76,2.25,2.13,18.83,0.948,101.43,Good
FERM_0458,29.85,6.44,77.87,150.3,28.18,1.58,2.1,17.76,0.95,101.75,Good
FERM_0459,29.77,6.47,87.13,159.3,27.08,1.92,2.14,18.63,0.949,101.69,Good
FERM_0460,28.98,6.52,81.72,137.9,29.56,1.7,1.96,17.46,0.98,101.31,Needs_Review
FERM_0461,31.75,5.84,36.94,253.0,11.62,4.07,2.9,24.79,1.023,103.7,Good
FERM_0462,30.1,6.13,44.48,209.1,23.43,2.89,2.59,24.58,1.107,103.27,Good
FERM_0463,29.5,6.34,65.92,168.2,27.3,2.03,1.88,18.36,0.92,101.11,Needs_Review
FERM_0464,30.35,5.98,46.48,205.0,22.39,2.82,2.5,21.02,0.963,102.94,Good
FERM_0465,30.04,6.23,58.13,187.7,24.03,2.23,1.82,15.8,0.942,100.64,Needs_Review
FERM_0466,29.82,6.37,71.56,164.7,22.7,2.36,2.69,24.02,1.061,104.02,Good
FERM_0467,30.5,6.2,77.66,186.0,22.53,2.82,1.67,16.42,0.892,100.22,Good
FERM_0468,30.64,6.11,57.66,204.0,14.19,3.32,3.39,27.82,1.153,104.9,Good
FERM_0469,29.47,6.23,48.65,176.5,29.26,2.02,1.77,16.5,0.909,101.04,Needs_Review
FERM_0470,29.77,6.33,74.65,163.8,31.4,1.77,1.26,10.51,0.745,98.09,Needs_Review
FERM_0471,29.9,6.46,76.76,167.1,24.7,2.26,2.22,19.24,0.949,101.35,Needs_Review
FERM_0472,27.19,6.74,79.26,124.9,34.0,1.0,0.92,10.64,0.783,98.35,Needs_Review
FERM_0473,28.8,6.4,74.19,144.0,30.61,1.62,1.86,18.45,0.976,101.8,Needs_Review
FERM_0474,31.28,5.84,51.13,215.7,18.3,3.33,1.74,17.4,0.842,100.25,Good
FERM_0475,31.48,5.85,35.52,232.3,16.77,3.61,2.03,19.15,0.936,101.01,Good
FERM_0476,29.68,6.37,73.38,163.8,29.3,1.94,0.68,10.31,0.708,97.94,Needs_Review
FERM_0477,30.8,6.07,56.61,209.0,22.51,2.68,2.13,16.97,0.933,101.25,Good
FERM_0478,30.52,6.3,62.34,175.6,28.97,2.28,0.78,8.0,0.703,96.84,Needs_Review
FERM_0479,32.58,5.5,20.0,260.0,11.84,4.16,2.11,16.64,0.86,100.52,Good
FERM_0480,31.11,6.01,44.4,229.6,15.4,3.47,2.42,24.54,1.042,103.56,Good
FERM_0481,29.64,6.25,73.33,173.5,24.73,2.31,2.21,22.85,0.97,102.87,Good
FERM_0482,28.8,6.47,70.21,143.0,30.09,1.82,2.08,18.36,0.974,100.69,Needs_Review
FERM_0483,28.4,6.8,95.0,123.7,34.0,1.0,1.03,10.5,0.825,98.12,Needs_Review
FERM_0484,30.4,6.06,55.14,193.4,21.69,2.6,2.01,18.22,0.931,101.24,Needs_Review
FERM_0485,29.56,6.31,69.93,155.0,28.23,1.85,1.86,14.56,0.937,101.01,Needs_Review
FERM_0486,28.85,6.62,87.85,134.1,31.21,1.0,1.18,10.54,0.747,99.09,Needs_Review
FERM_0487,29.6,6.14,50.43,189.0,25.02,2.26,2.6,23.58,1.031,103.47,Needs_Review
FERM_0488,29.16,6.21,51.19,173.5,27.21,1.71,2.17,20.13,0.976,101.63,Needs_Review
FERM_0489,31.36,5.75,21.35,238.0,17.98,3.68,2.41,19.81,0.959,102.22,Good
FERM_0490,30.9,6.01,73.54,188.4,18.43,3.04,2.64,19.58,0.939,102.43,Good
FERM_0491,30.19,6.15,57.95,186.9,21.6,2.48,1.8,18.59,0.954,101.71,Good
FERM_0492,31.52,6.13,80.18,204.5,19.82,2.98,1.42,12.59,0.768,98.34,Good
FERM_0493,30.37,6.09,53.96,195.2,21.72,2.34,1.87,16.74,0.873,101.24,Good
FERM_0494,29.4,6.49,73.45,155.7,30.74,1.6,1.45,14.87,0.839,99.7,Needs_Review
FERM_0495,31.46,5.98,63.39,218.9,15.6,3.42,1.81,16.88,0.887,100.2,Good
FERM_0496,30.75,6.37,82.31,197.6,21.79,2.94,2.0,16.79,0.912,101.3,Good
FERM_0497,29.06,6.57,95.0,145.2,23.3,1.88,2.78,23.91,1.097,104.16,Good
FERM_0498,29.61,6.33,77.32,169.7,23.32,2.51,2.76,19.98,0.948,102.73,Good
FERM_0499,29.17,6.52,85.61,151.0,31.67,1.41,1.54,11.92,0.848,99.64,Needs_Review
FERM_0500,28.57,6.54,84.6,139.0,30.48,1.36,1.77,19.09,0.907,101.24,Needs_Review
