Age,Education_Level,Skill_Level,Internship_Experience,Gender,Preferred_Job_Role,CGPA,Projects_Count,Study_Hours_Per_Day,Placement
28,PhD,Beginner,Medium,Male,Data Analyst,7.43,4,7.1,No
30,Master's,Intermediate,Long,Male,Software Developer,7,0,5.4,Yes
25,Diploma,Advanced,None,Male,Data Scientist,7.33,3,2.7,Yes
28,High School,Expert,None,Female,Business Analyst,8.81,2,5.6,No
27,Diploma,Intermediate,Long,Female,Software Developer,6.63,2,3,No
28,High School,Intermediate,None,Male,Business Analyst,6.98,0,3.9,No
27,Diploma,Advanced,Medium,Male,Business Analyst,6.47,2,5.2,No
28,Master's,Intermediate,Short,Female,Software Developer,6.28,1,3.1,No
29,High School,Beginner,None,Female,Software Developer,7.43,3,2.6,No
21,Bachelor's,Beginner,Long,Male,Data Scientist,7.04,4,5.3,Yes
29,Master's,Advanced,Short,Female,Data Scientist,9.19,6,7.7,No
23,High School,Advanced,Short,Male,Business Analyst,7.35,3,6.6,Yes
26,Master's,Beginner,Short,Male,Software Developer,8.76,2,5.7,Yes
26,Bachelor's,Intermediate,Short,Female,Business Analyst,8.47,2,6.2,No
22,Diploma,Intermediate,None,Female,Business Analyst,7.41,2,5.6,No
30,Master's,Advanced,Short,Female,Business Analyst,9.5,1,5.3,No
29,Bachelor's,Beginner,Long,Female,ML Engineer,7.84,1,6,No
29,Master's,Beginner,None,Female,Software Developer,8.96,2,2.2,Yes
19,Master's,Advanced,Medium,Male,Data Scientist,8.86,4,4.8,No
19,Master's,Beginner,None,Male,Software Developer,7.97,1,4.4,No
22,Bachelor's,Advanced,Medium,Male,Data Scientist,8.28,1,4.6,Yes
24,Diploma,Intermediate,None,Male,Software Developer,8.16,2,3.7,No
26,Master's,Beginner,Long,Female,Business Analyst,6.57,2,5.4,Yes
24,Master's,Intermediate,Short,Other,Software Developer,7.65,1,3.1,No
30,PhD,Advanced,None,Male,Data Scientist,8.57,0,3.6,Yes
27,Bachelor's,Advanced,None,Male,Data Analyst,8.97,3,3.4,Yes
27,Bachelor's,Advanced,None,Female,Software Developer,6.95,0,6,No
20,Master's,Intermediate,Short,Male,Data Analyst,8.08,3,4.5,No
28,Bachelor's,Advanced,None,Female,ML Engineer,7.74,1,3.7,No
19,Master's,Intermediate,Medium,Female,Data Scientist,,6,3.9,Yes
20,Master's,Intermediate,Short,Female,Data Analyst,7.92,2,4.5,No
23,Bachelor's,Advanced,None,Male,Data Analyst,7.8,2,7.3,No
22,Master's,Beginner,Medium,Male,Software Developer,8.09,2,2.4,Yes
22,Master's,Beginner,Medium,Female,Software Developer,8.9,4,5.6,No
27,Diploma,Intermediate,,Female,Data Scientist,8.31,1,5.3,No
29,Master's,Beginner,None,Male,Data Analyst,7.88,2,3,No
26,Bachelor's,Intermediate,None,Female,Data Scientist,9.28,4,7,Yes
24,Master's,Intermediate,Medium,Male,Data Scientist,8.6,1,5.4,Yes
19,Bachelor's,Intermediate,Medium,Female,Software Developer,7.52,3,3.6,No
20,Master's,Advanced,Short,Male,Software Developer,6.5,4,1.3,Yes
24,Bachelor's,Advanced,Medium,Female,Data Scientist,6.71,1,4.9,No
29,High School,Intermediate,Medium,Male,Data Analyst,8.44,5,4.4,No
20,Master's,Intermediate,Short,Male,ML Engineer,7.03,2,2.7,No
28,Diploma,Intermediate,Medium,Male,Software Developer,6.69,1,2.7,No
23,Bachelor's,Intermediate,None,Male,Software Developer,6.92,3,6,No
23,PhD,Intermediate,None,Female,Data Analyst,6.98,1,1.2,No
24,PhD,Advanced,None,Other,Software Developer,8.37,3,5,Yes
24,Bachelor's,Intermediate,None,Male,Data Analyst,7.46,2,4.2,No
24,Bachelor's,Intermediate,Short,Male,Software Developer,6.36,2,5.3,No
20,Bachelor's,Intermediate,Long,Female,ML Engineer,7.63,2,4,No
28,Bachelor's,Intermediate,None,Female,Data Scientist,7.8,1,5,No
21,Bachelor's,Expert,None,Female,Data Analyst,7.17,2,3.2,No
24,Bachelor's,Advanced,Short,Male,Data Analyst,8.64,2,4.4,No
26,Master's,Beginner,Long,Male,Data Scientist,7.22,0,5.3,No
30,Master's,Advanced,None,Female,Data Analyst,8.6,1,4.8,Yes
29,Master's,Intermediate,Short,Male,Data Analyst,8.14,1,5.1,No
30,Diploma,Advanced,None,Female,Business Analyst,8.43,0,2.9,No
19,Bachelor's,Advanced,None,Male,Software Developer,6.61,1,3.5,No
19,High School,Intermediate,Long,Female,Data Scientist,7.69,2,3.5,No
29,Bachelor's,Beginner,Long,Male,ML Engineer,7.55,3,4,Yes
20,Bachelor's,Intermediate,None,Female,Data Analyst,6.32,3,6.8,No
29,Master's,Intermediate,Long,Male,ML Engineer,8.59,2,3.9,No
30,Bachelor's,Advanced,Medium,Female,Data Scientist,6.86,4,2.6,Yes
30,Diploma,Intermediate,Medium,Male,ML Engineer,7.05,2,5.4,No
24,Diploma,Beginner,Short,Female,Software Developer,6.69,2,6.8,No
27,Master's,Advanced,Short,Female,Business Analyst,8.23,5,2.4,Yes
22,Bachelor's,Expert,Short,Female,ML Engineer,6.23,4,7.9,Yes
21,Diploma,Intermediate,Medium,Female,Data Scientist,8.16,4,5.2,Yes
30,Diploma,Beginner,None,Female,ML Engineer,8.54,7,6.3,No
26,Master's,Intermediate,None,Female,Data Scientist,8.08,4,7,No
29,High School,Beginner,None,Male,Data Scientist,8.24,3,6.2,No
28,Master's,Advanced,Medium,Female,Data Scientist,8.28,1,4.3,No
27,Master's,Beginner,None,Male,Software Developer,6.75,2,6.6,No
30,Diploma,Intermediate,Medium,Male,Data Analyst,8.89,6,4.9,Yes
29,Diploma,Intermediate,Long,Male,Software Developer,7.19,2,6.4,No
23,PhD,Intermediate,None,Male,Software Developer,7.54,1,6.5,Yes
27,Bachelor's,Advanced,Medium,Female,Business Analyst,7.3,0,2.6,No
20,Bachelor's,Advanced,Short,Female,Business Analyst,8.04,0,5.9,No
21,Master's,Intermediate,Medium,Female,Software Developer,7.12,4,4.2,No
25,Master's,Beginner,None,Male,Data Scientist,7.66,2,4.7,No
25,PhD,Beginner,Medium,Male,Data Scientist,6.49,5,4.7,Yes
24,Master's,Advanced,Medium,Male,Data Analyst,8.65,0,4.6,Yes
24,Bachelor's,Advanced,Long,Male,Data Analyst,8.2,2,7.1,No
20,Diploma,Intermediate,Medium,Male,Data Scientist,7.34,4,2.2,No
28,Master's,Advanced,Short,Male,Data Scientist,7.18,2,1.6,No
24,Bachelor's,Advanced,Medium,Male,ML Engineer,8.18,3,1.2,Yes
22,Bachelor's,Beginner,Medium,Female,Software Developer,6.96,2,6.3,No
30,Master's,Advanced,Short,Female,Data Scientist,7.71,2,3.2,No
21,Diploma,Intermediate,None,Other,Software Developer,8.65,0,4.7,No
29,Bachelor's,Intermediate,Long,Female,Data Analyst,6.87,4,4.3,Yes
20,High School,Intermediate,Medium,Female,Software Developer,7.93,5,3,Yes
19,Bachelor's,Beginner,Medium,Male,Software Developer,7.88,2,5.9,No
29,High School,Beginner,None,Female,Software Developer,7.51,3,4.3,No
29,Diploma,Advanced,Medium,Female,Data Scientist,7.15,6,4.1,No
23,Diploma,Beginner,Short,Male,ML Engineer,8.69,2,4.9,No
20,Bachelor's,Advanced,Medium,Male,ML Engineer,7.06,3,5.7,No
20,Master's,Intermediate,None,Female,Software Developer,5.97,3,2.9,No
25,Bachelor's,Intermediate,Medium,Male,Software Developer,8.18,1,6,Yes
26,PhD,Intermediate,Long,Female,Software Developer,6.52,2,7,No
28,Bachelor's,Intermediate,None,Female,Data Analyst,8.22,5,2.1,No
26,Bachelor's,Advanced,Long,Male,Data Scientist,8.8,1,5,Yes
22,Master's,Intermediate,Short,Male,Data Analyst,8.17,3,4,No
19,Bachelor's,Intermediate,Long,Male,Software Developer,8.56,3,5.7,Yes
29,PhD,Intermediate,Medium,Male,Software Developer,9.42,3,2.4,Yes
25,High School,Advanced,Short,Male,Data Analyst,8.47,2,7.3,Yes
19,PhD,Expert,Medium,Female,ML Engineer,7.9,2,1.8,No
29,High School,Advanced,Long,Male,ML Engineer,9.07,2,4.1,Yes
22,Master's,Intermediate,Short,Male,Business Analyst,9.18,0,5.2,No
26,Bachelor's,Beginner,None,Male,Software Developer,9.19,1,3.3,No
20,PhD,Intermediate,Medium,Female,Business Analyst,7.16,0,3.1,No
24,High School,Intermediate,Medium,Male,Data Analyst,6.38,0,4.9,Yes
24,Bachelor's,Beginner,Medium,Male,Business Analyst,7.1,2,4.6,No
30,PhD,Intermediate,Medium,Female,Data Analyst,8.23,3,4.5,Yes
27,Bachelor's,Intermediate,Short,Female,Business Analyst,7.74,0,6,No
23,Bachelor's,Intermediate,Medium,Male,Data Scientist,7.41,3,3.8,No
28,Master's,Advanced,None,Female,ML Engineer,8.1,1,5,No
22,Bachelor's,Beginner,Short,Male,ML Engineer,6.28,1,3.6,No
23,Bachelor's,Beginner,None,Male,Data Analyst,7.73,6,3.1,No
30,Bachelor's,Advanced,None,Male,Software Developer,8.61,4,4,No
30,Master's,Intermediate,Short,Male,ML Engineer,8.09,2,3.7,No
28,High School,Advanced,Short,Female,Software Developer,8.22,4,3.7,Yes
29,Bachelor's,Intermediate,Medium,Male,Business Analyst,9.04,4,6.5,Yes
23,PhD,Intermediate,Short,,Software Developer,7.54,0,4.1,No
26,Master's,Advanced,Short,Female,Data Scientist,7.01,3,3.4,No
28,Bachelor's,Advanced,None,Female,Data Scientist,8.67,3,4.5,No
30,Bachelor's,Advanced,Short,Male,Data Analyst,8.65,6,4.7,No
26,Bachelor's,Intermediate,None,Female,Business Analyst,8.1,1,2.5,No
20,Diploma,Intermediate,None,Male,Data Scientist,7.46,4,4,No
25,Bachelor's,Intermediate,Medium,Female,Software Developer,7.6,2,3.9,No
26,Bachelor's,Beginner,Medium,Female,Software Developer,6.45,2,4.2,No
29,Bachelor's,Advanced,Medium,Female,Software Developer,8.6,2,5.7,No
24,High School,Beginner,Short,Male,Business Analyst,8.57,2,4.7,No
23,PhD,Expert,Short,Male,ML Engineer,6.42,2,6.6,Yes
29,PhD,Intermediate,Medium,Male,Data Scientist,8.38,1,4.5,No
